pcd,lad23cd,lad23nm
"HS1 2JH","S12000013","Na h-Eileanan Siar"
"HS1 2JJ","S12000013","Na h-Eileanan Siar"
"HS1 2JL","S12000013","Na h-Eileanan Siar"
"HS1 2JN","S12000013","Na h-Eileanan Siar"
"HS1 2JP","S12000013","Na h-Eileanan Siar"
"HS1 2JQ","S12000013","Na h-Eileanan Siar"
"HS1 2JR","S12000013","Na h-Eileanan Siar"
"HS1 2JS","S12000013","Na h-Eileanan Siar"
"HS1 2JT","S12000013","Na h-Eileanan Siar"
"HS1 2JU","S12000013","Na h-Eileanan Siar"
"HS1 2JW","S12000013","Na h-Eileanan Siar"
"HS1 2JX","S12000013","Na h-Eileanan Siar"
"HS1 2JY","S12000013","Na h-Eileanan Siar"
"HS1 2JZ","S12000013","Na h-Eileanan Siar"
"HS1 2LA","S12000013","Na h-Eileanan Siar"
"HS1 2LB","S12000013","Na h-Eileanan Siar"
"HS1 2LD","S12000013","Na h-Eileanan Siar"
"HS1 2LE","S12000013","Na h-Eileanan Siar"
"HS1 2LF","S12000013","Na h-Eileanan Siar"
"HS1 2LG","S12000013","Na h-Eileanan Siar"
"HS1 2LH","S12000013","Na h-Eileanan Siar"
"HS1 2LJ","S12000013","Na h-Eileanan Siar"
"HS1 2LL","S12000013","Na h-Eileanan Siar"
"HS1 2LP","S12000013","Na h-Eileanan Siar"
"HS1 2LQ","S12000013","Na h-Eileanan Siar"
"HS1 2LR","S12000013","Na h-Eileanan Siar"
"HS1 2LS","S12000013","Na h-Eileanan Siar"
"HS1 2LT","S12000013","Na h-Eileanan Siar"
"HS1 2LU","S12000013","Na h-Eileanan Siar"
"HS1 2LW","S12000013","Na h-Eileanan Siar"
"HS1 2NA","S12000013","Na h-Eileanan Siar"
"HS1 2NB","S12000013","Na h-Eileanan Siar"
"HS1 2ND","S12000013","Na h-Eileanan Siar"
"HS1 2NE","S12000013","Na h-Eileanan Siar"
"HS1 2NF","S12000013","Na h-Eileanan Siar"
"HS1 2NG","S12000013","Na h-Eileanan Siar"
"HS1 2NH","S12000013","Na h-Eileanan Siar"
"HS1 2NJ","S12000013","Na h-Eileanan Siar"
"HS1 2NL","S12000013","Na h-Eileanan Siar"
"HS1 2NN","S12000013","Na h-Eileanan Siar"
"HS1 2NP","S12000013","Na h-Eileanan Siar"
"HS1 2NQ","S12000013","Na h-Eileanan Siar"
"HS1 2NR","S12000013","Na h-Eileanan Siar"
"HS1 2NS","S12000013","Na h-Eileanan Siar"
"HS1 2NW","S12000013","Na h-Eileanan Siar"
"HS1 2NX","S12000013","Na h-Eileanan Siar"
"HS1 2NY","S12000013","Na h-Eileanan Siar"
"HS1 2NZ","S12000013","Na h-Eileanan Siar"
"HS1 2PA","S12000013","Na h-Eileanan Siar"
"HS1 2PB","S12000013","Na h-Eileanan Siar"
"HS1 2PG","S12000013","Na h-Eileanan Siar"
"HS1 2PH","S12000013","Na h-Eileanan Siar"
"HS1 2PJ","S12000013","Na h-Eileanan Siar"
"HS1 2PL","S12000013","Na h-Eileanan Siar"
"HS1 2PN","S12000013","Na h-Eileanan Siar"
